,Product Name in flipkart,Retail Price (FK),Discounted Price (FK),Product name in Amazon,Retail Price (AMZ),Discounted Price (AMZ)
531,steppings running shoes casuals shoes,2999.0,2099.0,steppings running shoes casuals shoes,3682,3157
532,bonzer bellies,699.0,399.0,bonzer bellies,992,611
533,araanz by tribhovandas bhimji zaveri delhi gold diamond 18k yellow gold 18 k ring,15720.0,12576.0,araanz by tribhovandas bhimji zaveri delhi gold diamond 18k yellow gold 18 k ring,15709,16132
534,nishtaa yellow gold 22 k ring,11880.0,11286.0,nishtaa yellow gold 22 k ring,9284,10370
535,nishtaa yellow gold 22 k ring,8700.0,8265.0,nishtaa yellow gold 22 k ring,9284,10370
536,gritstones solid women's track pants,599.0,499.0,gritstones solid women's track pants,581,617
537,gritstones solid women's track pants,599.0,499.0,gritstones solid women's track pants,581,617
538,gritstones solid women's track pants,599.0,499.0,gritstones solid women's track pants,581,617
539,gritstones solid women's track pants,599.0,499.0,gritstones solid women's track pants,581,617
540,tapyti casual sleeveless solid women's top,795.0,398.0,tapyti casual sleeveless solid women's top,991,621
541,tapyti casual short sleeve solid women's top,1135.0,681.0,tapyti casual short sleeve solid women's top,1133,808
542,tapyti casual short sleeve solid women's top,1135.0,681.0,tapyti casual short sleeve solid women's top,1133,808
543,tapyti casual 3/4 sleeve solid women's top,845.0,610.0,tapyti casual 3/4 sleeve solid women's top,834,728
544,tapyti casual sleeveless solid women's top,875.0,440.0,tapyti casual sleeveless solid women's top,991,621
545,united colors of benetton solid round neck casual women's sweater,2099.0,1364.0,united colors of benetton solid round neck casual women's sweater,2495,2107
546,bonzer bellies,999.0,499.0,bonzer bellies,992,611
547,bonzer bellies,999.0,499.0,bonzer bellies,992,611
548,bluestone the twin wingflow yellow gold diamond 18 k ring,13010.0,13010.0,bluestone the twin wingflow yellow gold diamond 18 k ring,12990,15911
549,allen solly girl's shift dress,1499.0,1049.0,allen solly girl's shift dress,2096,1884
550,allen solly girl's gathered dress,1399.0,979.0,allen solly girl's gathered dress,1396,1165
551,ozel studio casual full sleeve printed women's top,985.0,591.0,ozel studio casual full sleeve printed women's top,974,732
552,ozel studio casual full sleeve solid women's top,1425.0,855.0,ozel studio casual full sleeve solid women's top,1413,1018
553,ozel studio casual sleeveless printed women's top,1290.0,645.0,ozel studio casual sleeveless printed women's top,1278,781
554,gee & bee casual printed women's kurti,2164.0,649.0,gee & bee casual printed women's kurti,1659,607
555,wearyourshine by pcj the skyrah gold diamond 18 k ring,10213.0,10213.0,wearyourshine by pcj the skyrah gold diamond 18 k ring,10211,13271
556,wearyourshine by pcj the dawnetta gold diamond 18 k ring,10227.0,10227.0,wearyourshine by pcj the dawnetta gold diamond 18 k ring,10210,11947
557,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
558,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
559,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
560,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
561,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
562,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
563,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
564,teemoods casual full sleeve striped women's top,1399.0,699.0,teemoods casual full sleeve striped women's top,995,1067
565,the clove casual 3/4 sleeve striped women's top,1499.0,699.0,the clove casual 3/4 sleeve striped women's top,1482,816
566,nun casual full sleeve striped women's top,1195.0,585.0,nun casual full sleeve striped women's top,1192,748
567,moda vastra casual 3/4 sleeve graphic print women's top,1799.0,899.0,moda vastra casual 3/4 sleeve graphic print women's top,1788,1148
568,nishtaa yellow gold 22 k ring,7180.0,6821.0,nishtaa yellow gold 22 k ring,9284,10370
569,cation casual 3/4 sleeve solid women's top,899.0,899.0,cation casual 3/4 sleeve solid women's top,1387,573
570,cation casual short sleeve solid women's top,1099.0,600.0,cation casual short sleeve solid women's top,1385,952
571,cation casual 3/4 sleeve solid women's top,2800.0,849.0,cation casual 3/4 sleeve solid women's top,1387,573
572,nishtaa yellow gold 22 k ring,7810.0,7420.0,nishtaa yellow gold 22 k ring,9284,10370
573,"cation casual short sleeve, 3/4 sleeve solid women's top",2600.0,899.0,"cation casual short sleeve, 3/4 sleeve solid women's top",2598,1137
574,shopaholic casual 3/4 sleeve solid women's top,1299.0,499.0,shopaholic casual 3/4 sleeve solid women's top,1290,594
575,fundoo t full sleeve solid men's sweatshirt,1998.0,749.0,fundoo t full sleeve solid men's sweatshirt,1979,893
576,cation casual 3/4 sleeve printed women's top,1099.0,750.0,cation casual 3/4 sleeve printed women's top,1079,850
577,fundoo t full sleeve solid men's sweatshirt,1998.0,749.0,fundoo t full sleeve solid men's sweatshirt,1979,893
578,goddess women casual 3/4 sleeve solid women's top,1199.0,719.0,goddess women casual 3/4 sleeve solid women's top,1191,883
579,bownbee girl's gathered dress,999.0,799.0,bownbee girl's gathered dress,989,917
580,fundoo t full sleeve solid men's sweatshirt,1998.0,749.0,fundoo t full sleeve solid men's sweatshirt,1979,893
581,herberto girl's a-line dress,1699.0,849.0,herberto girl's a-line dress,1683,1185
582,fundoo t full sleeve solid men's sweatshirt,1998.0,749.0,fundoo t full sleeve solid men's sweatshirt,1979,893
583,herberto girl's a-line dress,2999.0,1499.0,herberto girl's a-line dress,1683,1185
584,fundoo t full sleeve solid men's sweatshirt,1998.0,749.0,fundoo t full sleeve solid men's sweatshirt,1979,893
585,herberto girl's high low dress,1899.0,1025.0,herberto girl's high low dress,1894,1157
586,fundoo t full sleeve solid men's sweatshirt,1998.0,749.0,fundoo t full sleeve solid men's sweatshirt,1979,893
587,herberto girl's a-line dress,1599.0,649.0,herberto girl's a-line dress,1683,1185
588,herberto girl's a-line dress,2999.0,1619.0,herberto girl's a-line dress,1683,1185
589,jewels of jaipur gold ruby yellow gold 14 k ring,11076.0,9414.0,jewels of jaipur gold ruby yellow gold 14 k ring,11571,12713
590,jewels of jaipur gold ruby yellow gold 14 k ring,11587.0,9848.0,jewels of jaipur gold ruby yellow gold 14 k ring,11571,12713
591,"bluestone the ziva yellow gold diamond, emerald 18 k ring",31300.0,28313.0,"bluestone the ziva yellow gold diamond, emerald 18 k ring",33469,31701
592,united colors of benetton striped round neck casual women's sweater,2499.0,1624.0,united colors of benetton striped round neck casual women's sweater,2482,2100
593,united colors of benetton solid round neck casual women's sweater,2499.0,1624.0,united colors of benetton solid round neck casual women's sweater,2495,2107
594,tapyti casual full sleeve solid women's top,845.0,420.0,tapyti casual full sleeve solid women's top,832,505
595,only party short sleeve solid women's top,1495.0,1495.0,only party short sleeve solid women's top,1491,1680
596,elisabetta bartolli party short sleeve solid women's top,2095.0,2095.0,elisabetta bartolli party short sleeve solid women's top,2084,2651
597,tapyti casual short sleeve solid women's top,815.0,408.0,tapyti casual short sleeve solid women's top,1133,808
598,msl women flats,499.0,499.0,msl women flats,491,612
599,tapyti party sleeveless solid women's top,1275.0,890.0,tapyti party sleeveless solid women's top,1271,1067
600,nishtaa yellow gold 22 k ring,9300.0,8835.0,nishtaa yellow gold 22 k ring,9284,10370
601,jdx plain bed/sleeping pillow,7999.0,3370.0,jdx plain bed/sleeping pillow,5883,3349
602,cation casual 3/4 sleeve solid women's top,999.0,499.0,cation casual 3/4 sleeve solid women's top,1387,573
603,jdx plain bed/sleeping pillow,5299.0,2400.0,jdx plain bed/sleeping pillow,5883,3349
604,cation casual 3/4 sleeve solid women's top,1998.0,950.0,cation casual 3/4 sleeve solid women's top,1387,573
605,jdx plain bed/sleeping pillow,5899.0,2880.0,jdx plain bed/sleeping pillow,5883,3349
606,cation casual short sleeve solid women's top,899.0,499.0,cation casual short sleeve solid women's top,1385,952
607,dailyobjects back cover for ipad mini/retina display,1999.0,1685.0,dailyobjects back cover for ipad mini/retina display,1988,2190
608,life by shoppers stop women's gathered dress,1399.0,839.0,life by shoppers stop women's gathered dress,1387,1014
609,kiara jewellery sterling silver cubic zirconia rhodium ring,2975.0,1475.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
610,kiara jewellery sterling silver cubic zirconia rhodium ring,3675.0,2175.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
611,calgari women's gathered dress,1799.0,1799.0,calgari women's gathered dress,1781,2250
612,dumdaar.com women's gathered dress,1699.0,899.0,dumdaar.com women's gathered dress,1693,1117
613,kiara jewellery sterling silver cubic zirconia rhodium ring,4525.0,3025.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
614,kiara jewellery silver cubic zirconia rhodium ring,3911.0,1955.0,kiara jewellery silver cubic zirconia rhodium ring,3897,2354
615,krasns couture formal sleeveless solid women's top,2900.0,2500.0,krasns couture formal sleeveless solid women's top,2887,2980
616,forever fashion casual sleeveless solid women's top,1599.0,1299.0,forever fashion casual sleeveless solid women's top,1581,1608
617,jdx plain bed/sleeping pillow,5899.0,2880.0,jdx plain bed/sleeping pillow,5883,3349
618,jdx plain bed/sleeping pillow,7999.0,3370.0,jdx plain bed/sleeping pillow,5883,3349
619,jdx plain bed/sleeping pillow,10999.0,4699.0,jdx plain bed/sleeping pillow,5883,3349
620,ishtaa gold cubic zirconia 18 k ring,8690.0,8255.0,ishtaa gold cubic zirconia 18 k ring,8676,9937
621,selfcare soft & comfortable newly launched girl's top - pyjama set,749.0,369.0,selfcare soft & comfortable newly launched girl's top - pyjama set,687,362
622,selfcare soft & comfortable newly launched girl's top,720.0,360.0,selfcare soft & comfortable newly launched girl's top,707,457
623,selfcare soft & comfortable newly launched girl's pyjama,740.0,370.0,selfcare soft & comfortable newly launched girl's pyjama,734,424
624,selfcare soft & comfortable newly launched girl's pyjama,740.0,370.0,selfcare soft & comfortable newly launched girl's pyjama,734,424
625,selfcare soft & comfortable newly launched girl's pyjama,740.0,370.0,selfcare soft & comfortable newly launched girl's pyjama,734,424
626,selfcare soft & comfortable newly launched girl's top,720.0,360.0,selfcare soft & comfortable newly launched girl's top,707,457
627,selfcare girl's top - pyjama set,749.0,369.0,selfcare girl's top - pyjama set,732,479
628,bluestone the sestet yellow gold diamond 14 k ring,23124.0,20581.0,bluestone the sestet yellow gold diamond 14 k ring,23110,26556
629,yk self design round neck casual boy's sweater,1199.0,779.0,yk self design round neck casual boy's sweater,1196,995
630,addyvero geometric print round neck casual boy's sweater,1499.0,549.0,addyvero geometric print round neck casual boy's sweater,1485,613
631,next steps striped round neck casual boy's sweater,599.0,439.0,next steps striped round neck casual boy's sweater,592,488
632,bluestone the elettra yellow gold diamond 18 k ring,15916.0,15916.0,bluestone the elettra yellow gold diamond 18 k ring,15897,18479
633,herberto girl's a-line dress,2899.0,1499.0,herberto girl's a-line dress,1683,1185
634,ozel studio casual full sleeve floral print women's top,1645.0,987.0,ozel studio casual full sleeve floral print women's top,1627,1146
635,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
636,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
637,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
638,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
639,navaksha necktie men's  combo,1400.0,840.0,navaksha necktie men's  combo,1532,939
640,navaksha necktie men's  combo,1400.0,840.0,navaksha necktie men's  combo,1532,939
641,superkids solid round neck casual boy's sweater,825.0,825.0,superkids solid round neck casual boy's sweater,810,1032
642,bells and whistles striped round neck boy's sweater,1099.0,659.0,bells and whistles striped round neck boy's sweater,1097,790
643,babeezworld solid round neck boy's sweater,1400.0,800.0,babeezworld solid round neck boy's sweater,1382,941
644,bluestone the crocio band yellow gold diamond 14 k ring,22946.0,20423.0,bluestone the crocio band yellow gold diamond 14 k ring,22930,25167
645,betty girl's maxi dress,1990.0,1990.0,betty girl's maxi dress,2066,2526
646,betty girl's maxi dress,2070.0,2070.0,betty girl's maxi dress,2066,2526
647,betty girl's maxi dress,2230.0,2007.0,betty girl's maxi dress,2066,2526
648,betty girl's maxi dress,2120.0,2120.0,betty girl's maxi dress,2066,2526
649,betty girl's maxi dress,2055.0,2055.0,betty girl's maxi dress,2066,2526
650,betty girl's maxi dress,2630.0,2630.0,betty girl's maxi dress,2066,2526
651,betty girl's maxi dress,2455.0,2455.0,betty girl's maxi dress,2066,2526
652,betty girl's maxi dress,1995.0,1995.0,betty girl's maxi dress,2066,2526
653,betty girl's maxi dress,1995.0,1995.0,betty girl's maxi dress,2066,2526
654,karatcraft risena gold diamond 18 k ring,44470.0,37058.0,karatcraft risena gold diamond 18 k ring,44464,44299
655,nineteen casual bell sleeve solid women's top,1199.0,1079.0,nineteen casual bell sleeve solid women's top,1191,1228
656,imagination casual full sleeve solid women's top,999.0,699.0,imagination casual full sleeve solid women's top,994,907
657,imagination casual full sleeve solid women's top,999.0,699.0,imagination casual full sleeve solid women's top,994,907
658,imagination casual full sleeve striped women's top,1299.0,909.0,imagination casual full sleeve striped women's top,1296,1075
659,klick casual full sleeve solid women's top,1799.0,546.0,klick casual full sleeve solid women's top,1782,631
660,nod casual full sleeve solid women's top,1999.0,1999.0,nod casual full sleeve solid women's top,1982,2412
661,besiva casual full sleeve solid women's top,699.0,699.0,besiva casual full sleeve solid women's top,690,803
662,imagination casual full sleeve solid women's top,999.0,699.0,imagination casual full sleeve solid women's top,994,907
663,cation casual short sleeve solid women's top,1400.0,600.0,cation casual short sleeve solid women's top,1385,952
664,cation casual 3/4 sleeve solid women's top,1099.0,769.0,cation casual 3/4 sleeve solid women's top,1387,573
665,yna wayfarer sunglasses,1199.0,299.0,yna wayfarer sunglasses,1190,378
666,teemoods casual short sleeve solid women's top,999.0,600.0,teemoods casual short sleeve solid women's top,980,750
667,teemoods casual short sleeve solid women's top,999.0,600.0,teemoods casual short sleeve solid women's top,980,750
668,teemoods casual full sleeve solid women's top,999.0,499.0,teemoods casual full sleeve solid women's top,986,630
669,karatcraft triniya promise gold diamond 18 k ring,44019.0,28011.0,karatcraft triniya promise gold diamond 18 k ring,44009,35651
670,aaliya casual sleeveless solid women's top,1400.0,700.0,aaliya casual sleeveless solid women's top,1397,884
671,karatcraft citra engagement gold diamond 18 k ring,46772.0,33298.0,karatcraft citra engagement gold diamond 18 k ring,42069,37787
672,cation casual short sleeve solid women's top,899.0,499.0,cation casual short sleeve solid women's top,1385,952
673,cation casual short sleeve solid women's top,1200.0,499.0,cation casual short sleeve solid women's top,1385,952
674,cation casual 3/4 sleeve solid women's top,1400.0,499.0,cation casual 3/4 sleeve solid women's top,1387,573
675,cation casual 3/4 sleeve solid women's top,899.0,499.0,cation casual 3/4 sleeve solid women's top,1387,573
676,"cation casual short sleeve, sleeveless solid women's top",2200.0,799.0,"cation casual short sleeve, sleeveless solid women's top",2393,887
677,cation casual sleeveless solid women's top,899.0,899.0,cation casual sleeveless solid women's top,892,680
678,paprika party sleeveless solid women's top,799.0,499.0,paprika party sleeveless solid women's top,796,622
679,yepme women flats,399.0,199.0,yepme women flats,382,254
680,karatcraft sima gold diamond 18 k ring,49999.0,35698.0,karatcraft sima gold diamond 18 k ring,49992,45034
681,stilestreet casual short sleeve solid women's top,699.0,449.0,stilestreet casual short sleeve solid women's top,681,522
682,gag wear casual short sleeve solid women's top,699.0,349.0,gag wear casual short sleeve solid women's top,687,398
683,karatcraft ailey band gold diamond 18 k ring,47049.0,33702.0,karatcraft ailey band gold diamond 18 k ring,47038,37618
684,karatcraft clariz gold diamond 18 k ring,42860.0,38964.0,karatcraft clariz gold diamond 18 k ring,32656,24802
685,foot candy women heels,1599.0,799.0,foot candy women heels,1585,962
686,foot candy women heels,1799.0,899.0,foot candy women heels,1585,962
687,foot candy women heels,1599.0,799.0,foot candy women heels,1585,962
688,foot candy women heels,1599.0,799.0,foot candy women heels,1585,962
689,kiara jewellery sterling silver cubic zirconia rhodium ring,3075.0,1537.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
690,kiara jewellery sterling silver cubic zirconia rhodium ring,2875.0,1375.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
691,kiara jewellery sterling silver cubic zirconia rhodium ring,3425.0,1925.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
692,kiara jewellery sterling silver cubic zirconia rhodium ring,3475.0,1975.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
693,kiara jewellery sterling silver cubic zirconia rhodium ring,3275.0,1637.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
694,kiara jewellery sterling silver cubic zirconia rhodium ring,3875.0,1375.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
695,kiara jewellery kir0344 silver cubic zirconia rhodium ring,3467.0,1733.0,kiara jewellery kir0344 silver cubic zirconia rhodium ring,3458,2040
696,kiara jewellery sterling silver cubic zirconia rhodium ring,3625.0,2125.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
697,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
698,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
699,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
700,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
701,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
702,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
703,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
704,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
705,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
706,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
707,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
708,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
709,c&s shopping gallery women's leggings,1199.0,499.0,c&s shopping gallery women's leggings,1195,561
710,riva carpets cotton free bath mat classic shag bathmat-ri-04,1899.0,1899.0,riva carpets cotton free bath mat classic shag bathmat-ri-04,1889,2160
711,riva carpets cotton free bath mat classic loop shag bathmat_ri-527,1799.0,1799.0,riva carpets cotton free bath mat classic loop shag bathmat_ri-527,1786,2295
712,riva carpets cotton free bath mat classic shag bathmat-ri-04,1899.0,1899.0,riva carpets cotton free bath mat classic shag bathmat-ri-04,1889,2160
713,riva carpets cotton free bath mat classic shag bathmat-ri-04,1899.0,1899.0,riva carpets cotton free bath mat classic shag bathmat-ri-04,1889,2160
714,riva carpets cotton free bath mat classic shag bathmat-ri-04,1899.0,1899.0,riva carpets cotton free bath mat classic shag bathmat-ri-04,1889,2160
715,karatcraft klytie gold diamond 18 k ring,48043.0,31471.0,karatcraft klytie gold diamond 18 k ring,49997,43352
716,lamere women flats,1299.0,779.0,lamere women flats,1288,902
717,karatcraft klytie gold diamond 18 k ring,49999.0,33519.0,karatcraft klytie gold diamond 18 k ring,49997,43352
718,karatcraft robini emerald gold diamond 18 k ring,49999.0,33607.0,karatcraft robini emerald gold diamond 18 k ring,43465,44513
719,karatcraft trilic gold diamond 18 k ring,49999.0,33761.0,karatcraft trilic gold diamond 18 k ring,49989,38725
720,allure silver amethyst sterling silver ring,3130.0,1899.0,allure silver amethyst sterling silver ring,3116,2461
721,kiara jewellery sterling silver swarovski crystal yellow gold ring,3178.0,1589.0,kiara jewellery sterling silver swarovski crystal yellow gold ring,2730,1731
722,kiara jewellery sterling silver cubic zirconia rhodium ring,3225.0,1225.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
723,curvy q casual butterfly sleeve solid women's top,799.0,445.0,curvy q casual butterfly sleeve solid women's top,788,496
724,karatcraft clariz gold diamond 18 k ring,44445.0,30409.0,karatcraft clariz gold diamond 18 k ring,32656,24802
725,kiara jewellery sterling silver cubic zirconia rhodium ring,2975.0,1475.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
726,kiara jewellery sterling silver cubic zirconia rhodium ring,2975.0,1475.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
727,kiara jewellery sterling silver cubic zirconia rhodium ring,2609.0,1109.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
728,"majori casual, festive, party short sleeve floral print women's top",850.0,850.0,"majori casual, festive, party short sleeve floral print women's top",831,991
729,uptownie lite party short sleeve floral print women's top,999.0,389.0,uptownie lite party short sleeve floral print women's top,984,465
730,zastraa party full sleeve embroidered women's top,2299.0,1099.0,zastraa party full sleeve embroidered women's top,2286,1415
731,karatcraft musimi gold diamond 18 k ring,23356.0,12183.0,karatcraft musimi gold diamond 18 k ring,23343,13576
732,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
733,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
734,posto necktie men's  combo,3499.0,1499.0,posto necktie men's  combo,3480,1703
735,g-luck silver turquoise na k ring,3680.0,3200.0,g-luck silver turquoise na k ring,3675,3653
736,g-luck silver turquoise na k ring,4888.0,4250.0,g-luck silver turquoise na k ring,3675,3653
737,g-luck silver turquoise na k ring,3738.0,3250.0,g-luck silver turquoise na k ring,3675,3653
738,faballey casual short sleeve solid women's top,900.0,900.0,faballey casual short sleeve solid women's top,893,1002
739,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
740,faballey casual sleeveless solid women's top,650.0,650.0,faballey casual sleeveless solid women's top,940,1085
741,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
742,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
743,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
744,faballey casual short sleeve solid women's top,750.0,750.0,faballey casual short sleeve solid women's top,893,1002
745,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
746,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
747,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
748,faballey casual sleeveless printed women's top,1200.0,1200.0,faballey casual sleeveless printed women's top,1191,1477
749,faballey casual sleeveless solid women's top,900.0,900.0,faballey casual sleeveless solid women's top,940,1085
750,faballey casual sleeveless solid women's top,900.0,900.0,faballey casual sleeveless solid women's top,940,1085
751,the vanca formal sleeveless printed women's top,1299.0,909.0,the vanca formal sleeveless printed women's top,1298,1070
752,zoysia casual 3/4 sleeve solid women's top,3190.0,1595.0,zoysia casual 3/4 sleeve solid women's top,3185,1937
753,nell women heels,1485.0,699.0,nell women heels,1484,794
754,anaya women heels,1699.0,699.0,anaya women heels,1692,907
755,bellafoz women heels,999.0,499.0,bellafoz women heels,996,616
756,bellafoz women heels,999.0,499.0,bellafoz women heels,996,616
757,bellafoz women heels,999.0,499.0,bellafoz women heels,996,616
758,klick2style casual sleeveless solid women's top,1599.0,606.0,klick2style casual sleeveless solid women's top,1582,751
759,ishtaa gold cubic zirconia 18 k ring,8300.0,7885.0,ishtaa gold cubic zirconia 18 k ring,8676,9937
760,vastra valley girl's a-line dress,850.0,797.0,vastra valley girl's a-line dress,840,936
761,beebay girl's a-line dress,895.0,399.0,beebay girl's a-line dress,885,488
762,kidzblush girl's a-line dress,899.0,449.0,kidzblush girl's a-line dress,883,501
763,vastra valley girl's gathered dress,700.0,550.0,vastra valley girl's gathered dress,690,688
764,my little joy casual short sleeve printed girl's top,599.0,299.0,my little joy casual short sleeve printed girl's top,579,343
765,my little joy casual short sleeve printed girl's top,599.0,299.0,my little joy casual short sleeve printed girl's top,579,343
766,my little joy casual short sleeve printed baby girl's top,599.0,299.0,my little joy casual short sleeve printed baby girl's top,586,365
767,wise guys pouch for lenovo s880,249.0,249.0,wise guys pouch for lenovo s880,239,309
768,kiara jewellery sterling silver cubic zirconia rhodium ring,4025.0,2525.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
769,kiara jewellery sterling silver swarovski crystal yellow gold ring,2733.0,1366.0,kiara jewellery sterling silver swarovski crystal yellow gold ring,2730,1731
770,kiara jewellery sterling silver cubic zirconia rhodium ring,3238.0,1238.0,kiara jewellery sterling silver cubic zirconia rhodium ring,2864,1614
771,"bluestone sylvan lattice yellow gold diamond, pearl 18 k ring",38992.0,32255.0,"bluestone sylvan lattice yellow gold diamond, pearl 18 k ring",49334,47432
772,united colors of benetton solid round neck casual women's sweater,2499.0,1624.0,united colors of benetton solid round neck casual women's sweater,2495,2107
773,united colors of benetton solid round neck casual women's sweater,2099.0,1364.0,united colors of benetton solid round neck casual women's sweater,2495,2107
774,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
775,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
776,karatcraft duma stackable gold diamond 18 k ring,13859.0,8222.0,karatcraft duma stackable gold diamond 18 k ring,13840,9064
777,tapyti casual 3/4 sleeve solid women's top,875.0,610.0,tapyti casual 3/4 sleeve solid women's top,834,728
778,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
779,g-luck gomed stone weight - 12.3 carat / 14.47 ratti silver garnet ring,7820.0,6800.0,g-luck gomed stone weight - 12.3 carat / 14.47 ratti silver garnet ring,7818,8440
780,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
781,tapyti casual full sleeve solid women's top,845.0,420.0,tapyti casual full sleeve solid women's top,832,505
782,kundali gold topaz 18 k ring,25185.0,21900.0,kundali gold topaz 18 k ring,25171,24824
783,navaksha necktie men's  combo,1550.0,756.0,navaksha necktie men's  combo,1532,939
784,tapyti casual sleeveless solid women's top,999.0,499.0,tapyti casual sleeveless solid women's top,991,621
785,miss chase casual sleeveless solid women's top,1399.0,979.0,miss chase casual sleeveless solid women's top,997,1105
786,nine lions bollywood fashion casual short sleeve solid women's top,1650.0,550.0,nine lions bollywood fashion casual short sleeve solid women's top,1633,617
787,bluestone the ciara for her yellow gold diamond 18 k ring,20438.0,20438.0,bluestone the ciara for her yellow gold diamond 18 k ring,20427,22687
788,wrangler men's casual shirt,1795.0,1795.0,wrangler men's casual shirt,1793,2248
789,sequences girl's a-line dress,1350.0,749.0,sequences girl's a-line dress,1339,908
790,for kids girl's a-line dress,5999.0,2999.0,for kids girl's a-line dress,5793,3514
791,akshadha girl's a-line dress,799.0,799.0,akshadha girl's a-line dress,1928,2493
792,herberto girl's a-line dress,1899.0,949.0,herberto girl's a-line dress,1683,1185
793,for kids girl's a-line dress,5799.0,2899.0,for kids girl's a-line dress,5793,3514
794,de kafal girl's gathered dress,1299.0,799.0,de kafal girl's gathered dress,1279,917
795,rute floral print women's round neck t-shirt,1299.0,599.0,rute floral print women's round neck t-shirt,1279,708
796,indian gems and jewells certified 2 cts sterling silver ruby ring,5000.0,3500.0,indian gems and jewells certified 2 cts sterling silver ruby ring,4992,4006
797,karatcraft valusha gold diamond 18 k ring,16646.0,12094.0,karatcraft valusha gold diamond 18 k ring,16631,14167
798,elite neckties necktie men's  combo,1199.0,399.0,elite neckties necktie men's  combo,1191,452
799,kundali pukhraj stone weight - 3.8 carat / 4.47 ratti gold sapphire 18 k ring,45856.0,39875.0,kundali pukhraj stone weight - 3.8 carat / 4.47 ratti gold sapphire 18 k ring,45843,46636
800,"lee solid v-neck casual, party men's sweater",2299.0,1494.0,"lee solid v-neck casual, party men's sweater",2288,1750
801,myesquire square pot aroma electric burner lemongrass liquid air freshener,1600.0,628.0,myesquire square pot aroma electric burner lemongrass liquid air freshener,1586,773
